	FRA02501_Loti.xml	FRA04102_Erckmann.xml	FRA03101_Ponson.xml	FRA07601_Leroux.xml	FRA05301_Galopin.xml	FRA02302_Greville.xml	FRA01603_GautierJ.xml	FRA02603_Malot.xml	FRA02901_Noailles.xml	FRA07401_Leblanc.xml	FRA07301_Valgand.xml	FRA06101_Sandeau.xml	FRA04001_Verne.xml	FRA01602_GautierJ.xml	FRA07201_Montagne.xml	FRA01902_Gaboriau.xml	FRA00701_Carraud.xml	FRA04301_Achard.xml	FRA05501_Lermina.xml	FRA03802_Stern.xml	FRA00601_Boisgobey.xml	FRA06401_Chandeneux.xml	FRA03903_Stolz.xml	FRA03001_Ohnet.xml	FRA01501_France.xml	FRA06901_Vignon.xml	FRA05702_Maquet.xml	FRA07501_Darien.xml	FRA00503_Balzac.xml	FRA05101_Eekhoud.xml	FRA02303_Greville.xml	FRA04501_Barres.xml	FRA04202_Rolland.xml	FRA02602_Malot.xml	FRA03002_Ohnet.xml	FRA00602_Boisgobey.xml	FRA00401_Allais.xml	FRA06201_Viel-Castel.xml	FRA01202_Feval.xml	FRA00102_Adam.xml	FRA01101_Dombre.xml	FRA01203_Feval.xml	FRA02202_Gouraud.xml	FRA00501_Balzac.xml	FRA02401_LeRouge.xml	FRA05602_Lesueur.xml	FRA00301_Aimard.xml	FRA06601_Peladan.xml	FRA00502_Balzac.xml	FRA04401_Barbusse.xml	FRA07101_Blondel.xml	FRA07001_Mendes.xml	FRA01303_Flaubert.xml	FRA03201_Blandy.xml	FRA01403_Fleuriot.xml	FRA01302_Flaubert.xml	FRA03704_Sand.xml	FRA06001_Rebell.xml	FRA04901_Dumas.xml	FRA01402_Fleuriot.xml	FRA05801_Mille.xml	FRA02101_Girardin.xml	FRA04002_Verne.xml	FRA00801_Dash.xml	FRA01301_Flaubert.xml	FRA03702_Sand.xml	FRA05401_Kock.xml	FRA02201_Gouraud.xml	FRA02702_Maupassant.xml	FRA02301_Greville.xml	FRA01601_GautierJ.xml	FRA03701_Sand.xml	FRA06701_Uchard.xml	FRA01401_Fleuriot.xml	FRA04701_Bourget.xml	FRA03601_Proust.xml	FRA05901_Moselly.xml	FRA01201_Feval.xml	FRA02203_Gouraud.xml	FRA06501_Gyp.xml	FRA02001_Gilbert.xml	FRA03003_Ohnet.xml	FRA01102_Dombre.xml	FRA02601_Malot.xml	FRA06801_Vaillant.xml	FRA00901_Daudet.xml	FRA00101_Adam.xml	FRA03401_Reybaud.xml	FRA00201_Audoux.xml	FRA02701_Maupassant.xml	FRA04601_Bazin.xml	FRA06301_Montepin.xml	FRA00302_Aimard.xml	FRA01002_DelarueMardrus.xml	FRA01701_GautierT.xml	FRA03302_Rattazzi.xml	FRA05201_Feuillet.xml	FRA04801_Corday.xml	FRA02802_Mirbeau.xml	FRA01801_Gay.xml	TOTAL
title	3	3	3	4	2	4	4	2	4	4	4	2	3	4	4	3	4	3	2	4	1	2	2	3	4	4	4	4	3	2	4	2	1	3	2	1	4	3	3	4	1	4	3	3	1	2	3	2	3	3	4	4	3	4	3	4	2	2	2	3	2	4	2	4	3	2	2	3	3	4	4	2	4	2	2	1	2	1	3	 	4	1	1	2	4	3	4	3	9	3	2	2	5	3	4	7	2	2	1	3	293
pb	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	289	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	290
bibl	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	4	3	2	2	3	3	3	3	2	3	3	3	2	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	 	3	3	2	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	2	3	286
author	3	2	2	4	2	4	4	2	4	4	4	2	3	4	4	3	4	3	2	4	1	2	2	3	4	4	3	4	3	2	4	2	1	3	2	1	4	2	3	4	1	4	3	3	1	2	3	2	3	3	4	4	3	4	3	4	2	2	2	3	2	4	2	4	3	2	2	3	3	2	4	2	2	2	2	1	2	1	3	 	3	1	1	2	2	3	4	3	4	3	2	2	3	3	4	2	2	2	1	3	270
label	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	257	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	266
quote	1	 	17	 	 	1	 	7	 	 	 	3	 	 	 	 	 	 	 	5	 	60	6	2	 	16	8	 	4	5	1	 	6	7	 	 	4	 	1	1	5	 	1	7	1	 	1	 	2	 	 	 	 	1	13	 	 	3	 	2	 	1	 	5	 	12	1	 	 	 	 	 	3	1	 	 	1	 	3	 	 	 	1	5	 	 	4	 	2	 	 	1	11	 	1	3	1	1	5	11	264
name	2	2	2	3	4	4	3	2	3	3	3	3	2	3	3	2	6	2	2	5	1	3	2	2	5	3	3	3	1	4	4	2	3	2	2	1	1	2	2	3	2	2	2	2	2	3	1	3	1	2	3	3	2	3	2	2	2	3	2	2	2	5	2	3	2	2	2	2	2	2	3	2	3	2	2	2	8	2	2	 	3	2	2	2	2	1	3	5	2	2	2	3	1	4	3	2	7	2	2	2	254
note	 	 	1	19	2	 	 	1	 	1	 	 	 	 	 	 	4	 	2	 	 	 	 	 	 	 	 	 	 	10	 	 	 	 	 	 	77	45	 	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	4	 	2	4	 	 	 	 	 	1	 	 	 	 	 	 	12	4	 	 	12	 	 	3	1	 	 	 	 	 	1	 	15	 	 	 	 	 	6	 	 	 	 	 	2	6	237
respStmt	2	2	2	3	3	3	3	2	3	3	3	3	2	3	3	2	3	2	2	3	1	3	2	2	3	3	3	3	1	3	3	2	3	2	2	1	1	2	2	3	2	2	2	2	2	3	1	3	1	2	3	3	2	3	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	3	2	3	2	2	2	3	2	2	 	2	2	2	2	2	1	3	3	2	2	2	3	1	3	3	2	3	2	2	2	228
resp	2	2	2	3	3	3	3	2	3	3	3	3	2	3	3	2	3	2	2	3	1	3	2	2	3	3	3	3	1	3	3	2	3	2	2	1	1	2	2	3	2	2	2	2	2	3	1	3	1	2	3	3	2	3	2	2	2	3	2	2	2	3	2	3	2	2	2	2	2	2	3	2	3	2	2	2	3	2	2	 	2	2	2	2	2	1	3	3	2	2	2	3	1	3	3	2	3	2	2	2	228
foreign	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	7	 	3	 	 	 	 	32	 	 	2	1	 	3	2	 	 	1	 	 	1	 	 	 	 	 	 	105	1	 	 	 	 	 	 	 	 	 	27	 	 	2	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	4	4	 	 	 	 	214
emph	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	90	 	7	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	8	 	 	15	 	 	 	 	131
pubPlace	1	1	2	1	1	2	2	1	2	 	2	1	1	2	2	2	2	1	1	2	 	1	1	2	2	2	1	1	2	1	1	1	 	1	1	 	3	1	1	2	 	2	2	2	 	 	1	2	2	1	2	2	1	2	2	2	1	1	1	1	1	2	1	2	2	2	1	2	1	1	2	2	2	1	 	2	 	 	2	 	2	 	 	2	2	2	2	1	2	 	1	1	1	1	2	2	1	 	 	1	129
term	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	1	2	1	1	1	1	1	6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	 	2	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	115
gap	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	35	 	 	1	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	28	 	14	 	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	 	113
measure	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	111
extent	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
keywords	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
language	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
fileDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
body	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
langUsage	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
text	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
licence	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
teiHeader	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
size	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
publicationStmt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
reprintCount	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
timeSlot	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
availability	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
authorGender	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
textClass	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
profileDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
encodingDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
revisionDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
distributor	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
titleStmt	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
sourceDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
textDesc	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
TEI	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99
front	 	 	 	 	1	1	1	 	1	 	1	1	 	1	1	 	1	1	 	1	 	 	 	 	1	1	1	1	1	1	1	1	1	 	 	 	1	1	 	1	 	 	 	1	 	1	1	1	 	1	1	 	1	1	 	1	1	1	 	 	1	1	 	1	1	1	1	 	1	 	1	 	1	 	1	1	 	 	 	 	1	 	 	1	1	 	1	 	 	1	 	 	 	1	1	 	 	1	1	1	55
back	 	1	1	1	1	 	 	1	 	1	 	 	1	 	 	 	1	 	1	 	1	 	 	1	 	 	 	 	1	1	 	 	1	 	1	1	1	1	1	 	 	1	1	1	 	 	1	 	1	 	 	 	 	 	1	 	1	1	 	 	 	 	 	1	 	1	 	 	 	 	1	1	 	 	1	 	 	1	1	 	 	1	 	 	1	 	1	 	1	 	 	 	1	 	 	 	 	 	1	1	41
trailer	 	 	 	2	 	 	 	1	 	 	1	1	 	 	1	 	1	 	 	 	 	3	 	 	 	1	1	1	 	 	 	1	1	 	 	 	 	 	 	 	 	 	 	1	 	4	 	1	 	1	 	2	 	 	 	 	 	 	 	 	2	 	 	 	 	1	3	 	 	1	 	 	1	 	2	 	 	1	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	 	3	 	 	41
